Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Vehicle Charging Device Statistics (https://www.gov.uk/government/statistics/electric-vehicle-charging-device-statistics-july-2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCD_01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Publicly available electric vehicle charging devices at all speeds by local authority, from October 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA / Region Code,Local Authority / Region Name,Jul-21,,Apr-21,,Jan-21,,Oct-20,,Jul-20,,Apr-20,,Jan-20,,Oct-19,,,,,,,,,,,,,
,,Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",,,,,,,,,,,,
K02000001,UNITED KINGDOM,"24,374",36.3,"22,790",34.1,"20,775",31.1,"19,487",29.2,"18,265",27.3,"17,947",27.0,"16,505",24.8,"15,116",22.8,,,,,,,,,,,,
K03000001,GREAT BRITAIN,"24,044",36.9,"22,463",34.6,"20,455",31.5,"19,169",29.5,"17,953",27.7,"17,642",27.3,"16,210",25.1,"14,821",23.0,,,,,,,,,,,,
E92000001,ENGLAND,"20,563",36.4,"19,261",34.2,"17,459",31.0,"16,456",29.2,"15,395",27.3,"14,979",26.8,"13,719",24.5,"12,549",22.4,,,,,,,,,,,,
E12000001,NORTH EAST,887,33.1,854,32.0,820,30.7,849,31.8,812,30.4,786,29.6,752,28.3,738,27.8,,,,,,,,,,,,
E06000047,County Durham,116,21.8,121,22.8,110,20.8,106,20.0,105,19.8,102,19.4,96,18.2,92,17.5,,,,,,,,,,,,
E06000005,Darlington,31,28.9,29,27.2,29,27.2,29,27.2,28,26.2,28,26.3,27,25.3,27,25.3,,,,,,,,,,,,
E06000001,Hartlepool,10,10.7,9,9.6,8,8.5,6,6.4,6,6.4,6,6.4,5,5.4,5,5.4,,,,,,,,,,,,
E06000002,Middlesbrough,30,21.2,30,21.3,30,21.3,29,20.6,29,20.6,29,20.6,27,19.2,25,17.8,,,,,,,,,,,,
E06000057,Northumberland,172,53.1,153,47.5,149,46.2,162,50.2,152,47.1,149,46.5,138,43.1,139,43.4,,,,,,,,,,,,
E06000003,Redcar and Cleveland,32,23.3,26,19.0,24,17.5,24,17.5,20,14.6,20,14.6,17,12.4,17,12.4,,,,,,,,,,,,
E06000004,Stockton-on-Tees,86,43.6,86,43.6,84,42.6,86,43.6,85,43.1,76,38.5,73,37.0,71,36.0,,,,,,,,,,,,
E11000007,Tyne and Wear (Met County),410,35.8,400,35.0,386,33.8,407,35.7,387,33.9,376,33.1,369,32.5,362,31.9,,,,,,,,,,,,
E08000037,Gateshead,63,31.2,61,30.2,62,30.7,70,34.6,67,33.2,66,32.6,61,30.1,60,29.6,,,,,,,,,,,,
E08000021,Newcastle upon Tyne,126,41.1,119,39.3,113,37.3,116,38.3,109,36.0,107,35.6,109,36.3,106,35.3,,,,,,,,,,,,
E08000022,North Tyneside,45,21.5,46,22.1,47,22.6,48,23.1,42,20.2,40,19.4,34,16.5,38,18.4,,,,,,,,,,,,
E08000023,South Tyneside,30,19.9,28,18.5,27,17.9,28,18.5,28,18.5,28,18.6,28,18.6,30,20.0,,,,,,,,,,,,
E08000024,Sunderland,146,52.5,146,52.6,137,49.3,145,52.2,141,50.8,135,48.7,137,49.4,128,46.1,,,,,,,,,,,,
E12000002,NORTH WEST,"1,620",22.0,"1,513",20.6,"1,410",19.2,"1,403",19.1,"1,476",20.1,"1,412",19.4,"1,279",17.5,"1,204",16.5,,,,,,,,,,,,
E06000008,Blackburn with Darwen,30,20.0,27,18.0,30,20.0,30,20.0,24,16.0,20,13.4,18,12.1,14,9.4,,,,,,,,,,,,
E06000009,Blackpool,22,15.9,22,15.8,20,14.3,19,13.6,17,12.2,15,10.8,15,10.8,13,9.3,,,,,,,,,,,,
E06000049,Cheshire East,102,26.4,87,22.6,75,19.5,74,19.3,71,18.5,69,18.1,65,17.1,59,15.5,,,,,,,,,,,,
E06000050,Cheshire West and Chester,83,24.1,69,20.1,57,16.6,55,16.0,49,14.3,48,14.1,40,11.7,40,11.7,,,,,,,,,,,,
E06000006,Halton,17,13.1,12,9.3,12,9.3,12,9.3,14,10.8,11,8.6,10,7.8,8,6.2,,,,,,,,,,,,
E06000007,Warrington,88,42.0,87,41.4,85,40.5,82,39.0,83,39.5,82,39.1,66,31.5,66,31.5,,,,,,,,,,,,
E10000006,Cumbria,225,45.0,210,42.0,198,39.6,191,38.2,183,36.6,179,35.9,163,32.7,150,30.1,,,,,,,,,,,,
E07000026,Allerdale,19,19.4,20,20.5,20,20.5,18,18.4,18,18.4,18,18.5,17,17.4,17,17.4,,,,,,,,,,,,
E07000027,Barrow-in-Furness,8,12.0,7,10.4,3,4.5,3,4.5,2,3.0,2,3.0,0,0.0,0,0.0,,,,,,,,,,,,
E07000028,Carlisle,50,46.1,41,37.7,39,35.9,35,32.2,33,30.4,31,28.6,28,25.8,26,24.0,,,,,,,,,,,,
E07000029,Copeland,28,41.2,24,35.2,22,32.3,22,32.3,22,32.3,22,32.2,21,30.7,21,30.7,,,,,,,,,,,,
E07000030,Eden,39,72.6,39,73.2,37,69.5,38,71.4,36,67.6,34,64.3,31,58.6,29,54.8,,,,,,,,,,,,
E07000031,South Lakeland,81,77.2,79,75.2,77,73.3,75,71.4,72,68.5,72,68.9,66,63.1,57,54.5,,,,,,,,,,,,
E11000001,Greater Manchester (Met County),425,14.9,411,14.5,395,13.9,412,14.5,509,17.9,506,18.0,465,16.5,446,15.9,,,,,,,,,,,,
E08000001,Bolton,24,8.3,21,7.3,18,6.3,24,8.3,31,10.8,31,10.9,28,9.8,26,9.1,,,,,,,,,,,,
E08000002,Bury,17,8.9,17,8.9,17,8.9,17,8.9,24,12.6,24,12.6,20,10.5,20,10.5,,,,,,,,,,,,
E08000003,Manchester,107,19.3,101,18.3,97,17.5,105,19.0,136,24.6,131,23.9,129,23.6,119,21.7,,,,,,,,,,,,
E08000004,Oldham,33,13.9,31,13.1,31,13.1,32,13.5,44,18.6,44,18.7,38,16.1,35,14.9,,,,,,,,,,,,
E08000005,Rochdale,22,9.8,25,11.2,26,11.7,33,14.8,36,16.2,36,16.4,29,13.2,30,13.6,,,,,,,,,,,,
E08000006,Salford,76,28.9,73,28.2,74,28.6,74,28.6,90,34.8,95,37.3,89,35.0,91,35.8,,,,,,,,,,,,
E08000007,Stockport,35,11.9,36,12.3,33,11.2,32,10.9,34,11.6,34,11.7,32,11.0,28,9.6,,,,,,,,,,,,
E08000008,Tameside,25,11.0,22,9.7,22,9.7,19,8.4,26,11.5,25,11.1,22,9.8,20,8.9,,,,,,,,,,,,
E08000009,Trafford,44,18.5,45,19.0,45,19.0,45,19.0,51,21.5,51,21.6,49,20.7,49,20.7,,,,,,,,,,,,
E08000010,Wigan,42,12.7,40,12.2,32,9.7,31,9.4,37,11.3,35,10.7,29,8.9,28,8.6,,,,,,,,,,,,
E10000017,Lancashire,382,31.1,357,29.3,335,27.5,328,26.9,300,24.6,282,23.3,257,21.2,239,19.8,,,,,,,,,,,,
E07000117,Burnley,18,20.1,18,20.2,18,20.2,16,18.0,15,16.9,13,14.7,12,13.6,10,11.3,,,,,,,,,,,,
E07000118,Chorley,43,36.2,40,33.8,40,33.8,40,33.8,37,31.3,34,29.1,33,28.2,32,27.4,,,,,,,,,,,,
E07000119,Fylde,16,19.7,16,19.8,16,19.8,14,17.3,12,14.9,12,15.0,12,15.0,10,12.5,,,,,,,,,,,,
E07000120,Hyndburn,24,29.6,23,28.4,23,28.4,23,28.4,19,23.4,15,18.6,11,13.6,8,9.9,,,,,,,,,,,,
E07000121,Lancaster,73,49.3,65,44.5,65,44.5,62,42.5,57,39.0,57,39.5,42,29.1,43,29.8,,,,,,,,,,,,
E07000122,Pendle,15,16.3,15,16.3,15,16.3,15,16.3,15,16.3,14,15.3,14,15.3,14,15.3,,,,,,,,,,,,
E07000123,Preston,52,36.1,50,34.9,46,32.1,46,32.1,44,30.7,41,28.9,41,28.9,38,26.8,,,,,,,,,,,,
E07000124,Ribble Valley,26,41.9,21,34.5,16,26.3,18,29.6,18,29.6,18,30.0,16,26.6,17,28.3,,,,,,,,,,,,
E07000125,Rossendale,15,21.0,15,21.0,15,21.0,13,18.2,12,16.8,11,15.5,11,15.5,6,8.5,,,,,,,,,,,,
E07000126,South Ribble,49,44.1,44,39.7,39,35.2,38,34.3,29,26.2,26,23.5,25,22.6,25,22.6,,,,,,,,,,,,
E07000127,West Lancashire,32,27.9,32,28.0,24,21.0,25,21.9,24,21.0,24,21.1,22,19.3,20,17.6,,,,,,,,,,,,
E07000128,Wyre,19,16.8,18,16.1,18,16.1,18,16.1,18,16.1,17,15.3,18,16.2,16,14.4,,,,,,,,,,,,
E11000002,Merseyside (Met County),246,17.2,231,16.2,203,14.2,200,14.0,226,15.8,200,14.1,180,12.6,169,11.9,,,,,,,,,,,,
E08000011,Knowsley,18,11.8,11,7.3,9,6.0,9,6.0,9,6.0,8,5.3,7,4.7,7,4.7,,,,,,,,,,,,
E08000012,Liverpool,165,33.0,151,30.3,135,27.1,133,26.7,151,30.3,142,28.7,124,25.1,119,24.0,,,,,,,,,,,,
E08000014,Sefton,23,8.3,30,10.9,19,6.9,19,6.9,19,6.9,17,6.2,17,6.2,13,4.7,,,,,,,,,,,,
E08000013,St. Helens,20,11.0,20,11.1,20,11.1,20,11.1,27,15.0,17,9.4,16,8.9,15,8.3,,,,,,,,,,,,
E08000015,Wirral,20,6.2,19,5.9,20,6.2,19,5.9,20,6.2,16,4.9,16,4.9,15,4.6,,,,,,,,,,,,
E12000003,YORKSHIRE AND THE HUMBER,"1,156",20.9,"1,127",20.5,"1,056",19.2,996,18.1,951,17.3,900,16.4,775,14.1,664,12.1,,,,,,,,,,,,
E06000011,East Riding of Yorkshire,58,16.9,55,16.1,43,12.6,42,12.3,38,11.1,37,10.9,28,8.2,27,8.0,,,,,,,,,,,,
E06000010,"Kingston upon Hull, City of",34,13.1,36,13.9,34,13.1,31,11.9,28,10.8,28,10.7,21,8.1,17,6.5,,,,,,,,,,,,
E06000012,North East Lincolnshire,24,15.1,21,13.2,19,11.9,19,11.9,19,11.9,18,11.3,16,10.0,17,10.6,,,,,,,,,,,,
E06000013,North Lincolnshire,21,12.2,21,12.2,18,10.4,16,9.3,15,8.7,13,7.6,12,7.0,14,8.1,,,,,,,,,,,,
E06000014,York,79,37.4,75,35.6,74,35.1,73,34.7,70,33.2,68,32.4,58,27.6,58,27.6,,,,,,,,,,,,
E10000023,North Yorkshire,177,28.5,174,28.2,159,25.7,157,25.4,142,23.0,138,22.5,117,19.0,112,18.2,,,,,,,,,,,,
E07000163,Craven,26,45.3,28,49.0,20,35.0,20,35.0,18,31.5,17,29.9,14,24.6,15,26.4,,,,,,,,,,,,
E07000164,Hambleton,30,32.6,25,27.3,25,27.3,24,26.2,20,21.8,19,20.8,17,18.7,15,16.5,,,,,,,,,,,,
E07000165,Harrogate,50,31.0,52,32.3,49,30.5,49,30.5,42,26.1,42,26.2,36,22.4,33,20.6,,,,,,,,,,,,
E07000166,Richmondshire,18,33.5,18,33.5,18,33.5,18,33.5,18,33.5,17,31.9,16,30.1,17,31.9,,,,,,,,,,,,
E07000167,Ryedale,27,48.5,26,46.9,23,41.5,23,41.5,23,41.5,23,41.9,15,27.3,13,23.7,,,,,,,,,,,,
E07000168,Scarborough,20,18.4,20,18.4,20,18.4,20,18.4,18,16.6,17,15.6,16,14.7,16,14.7,,,,,,,,,,,,
E07000169,Selby,6,6.5,5,5.5,4,4.4,3,3.3,3,3.3,3,3.4,3,3.4,3,3.4,,,,,,,,,,,,
E11000003,South Yorkshire (Met County),271,19.2,266,18.9,250,17.7,238,16.9,231,16.4,217,15.5,203,14.5,136,9.7,,,,,,,,,,,,
E08000016,Barnsley,25,10.1,25,10.1,23,9.3,21,8.5,20,8.1,19,7.7,14,5.7,9,3.7,,,,,,,,,,,,
E08000017,Doncaster,55,17.6,52,16.7,51,16.4,47,15.1,45,14.4,45,14.5,43,13.8,34,10.9,,,,,,,,,,,,
E08000018,Rotherham,67,25.3,68,25.6,64,24.1,61,23.0,59,22.2,56,21.2,56,21.2,43,16.2,,,,,,,,,,,,
E08000019,Sheffield,124,21.0,121,20.7,112,19.2,109,18.6,107,18.3,97,16.7,90,15.5,50,8.6,,,,,,,,,,,,
E11000006,West Yorkshire (Met County),492,21.0,479,20.5,459,19.7,420,18.0,408,17.5,381,16.4,320,13.8,283,12.2,,,,,,,,,,,,
E08000032,Bradford,106,19.6,101,18.7,95,17.6,90,16.7,84,15.6,81,15.1,59,11.0,48,8.9,,,,,,,,,,,,
E08000033,Calderdale,35,16.6,35,16.6,34,16.1,28,13.2,28,13.2,28,13.3,21,10.0,19,9.0,,,,,,,,,,,,
E08000034,Kirklees,63,14.3,62,14.1,59,13.4,57,13.0,50,11.4,50,11.4,43,9.8,41,9.3,,,,,,,,,,,,
E08000035,Leeds,227,28.4,220,27.7,212,26.7,189,23.8,195,24.6,172,21.8,152,19.3,141,17.9,,,,,,,,,,,,
E08000036,Wakefield,61,17.3,61,17.5,59,16.9,56,16.1,51,14.6,50,14.5,45,13.0,34,9.9,,,,,,,,,,,,
E12000004,EAST MIDLANDS,"1,280",26.3,"1,176",24.3,"1,090",22.5,"1,029",21.3,962,19.9,925,19.3,862,17.9,743,15.5,,,,,,,,,,,,
E06000015,Derby,64,24.9,62,24.1,59,22.9,59,22.9,58,22.5,58,22.6,57,22.2,53,20.6,,,,,,,,,,,,
E06000016,Leicester,76,21.5,74,20.9,73,20.6,73,20.6,73,20.6,72,20.3,72,20.3,70,19.7,,,,,,,,,,,,
E06000061,North Northamptonshire (from April 2021),86,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
E06000018,Nottingham,148,43.9,148,44.5,143,43.0,130,39.1,125,37.5,128,38.7,126,38.1,104,31.4,,,,,,,,,,,,
E06000017,Rutland,17,42.0,17,42.6,15,37.6,14,35.1,14,35.1,14,35.3,10,25.2,10,25.2,,,,,,,,,,,,
E06000062,West Northamptonshire (from April 2021),69,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
E10000007,Derbyshire,184,22.8,169,21.1,149,18.6,138,17.2,124,15.4,113,14.2,101,12.7,79,9.9,,,,,,,,,,,,
E07000032,Amber Valley,15,11.6,11,8.6,11,8.6,12,9.4,10,7.8,10,7.9,7,5.5,6,4.7,,,,,,,,,,,,
E07000033,Bolsover,35,43.0,29,36.0,15,18.6,15,18.6,15,18.6,15,18.9,14,17.6,10,12.6,,,,,,,,,,,,
E07000034,Chesterfield,31,29.5,31,29.6,29,27.6,29,27.6,31,29.6,29,27.7,29,27.7,20,19.1,,,,,,,,,,,,
