Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Vehicle Charging Device Statistics (https://www.gov.uk/government/statistics/electric-vehicle-charging-device-statistics-july-2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCD_01b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Publicly available electric vehicle charging rapid devices by local authority, from October 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA / Region Code,Local Authority / Region Name,Jul-21,,Apr-21,,Jan-21,,Oct-20,,Jul-20,,Apr-20,,Jan-20,,Oct-19,,,,,,,,,,,,,,,
,,Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",Rapid devices,"per 100,000 population",,,,,,,,,,,,,,
K02000001,UNITED KINGDOM,"4,551",6.8,"4,259",6.4,"3,880",5.8,"3,530",5.3,"3,206",4.8,"3,107",4.7,"2,829",4.3,"2,495",3.8,,,,,,,,,,,,,,
K03000001,GREAT BRITAIN,"4,530",6.9,"4,239",6.5,"3,860",5.9,"3,508",5.4,"3,187",4.9,"3,088",4.8,"2,810",4.4,"2,476",3.8,,,,,,,,,,,,,,
E92000001,ENGLAND,"3,732",6.6,"3,523",6.3,"3,214",5.7,"2,909",5.2,"2,615",4.6,"2,526",4.5,"2,288",4.1,"2,008",3.6,,,,,,,,,,,,,,
E12000001,NORTH EAST,209,7.8,183,6.9,172,6.4,156,5.8,118,4.4,117,4.4,108,4.1,98,3.7,,,,,,,,,,,,,,
E06000047,County Durham,24,4.5,21,4.0,19,3.6,15,2.8,14,2.6,14,2.7,13,2.5,13,2.5,,,,,,,,,,,,,,
E06000005,Darlington,5,4.7,3,2.8,3,2.8,3,2.8,2,1.9,2,1.9,2,1.9,2,1.9,,,,,,,,,,,,,,
E06000001,Hartlepool,2,2.1,1,1.1,1,1.1,1,1.1,1,1.1,1,1.1,0,0.0,0,0.0,,,,,,,,,,,,,,
E06000002,Middlesbrough,7,5.0,7,5.0,7,5.0,6,4.3,6,4.3,6,4.3,6,4.3,4,2.8,,,,,,,,,,,,,,
E06000057,Northumberland,58,17.9,47,14.6,43,13.3,38,11.8,26,8.1,26,8.1,26,8.1,24,7.5,,,,,,,,,,,,,,
E06000003,Redcar and Cleveland,5,3.6,4,2.9,2,1.5,2,1.5,1,0.7,1,0.7,1,0.7,1,0.7,,,,,,,,,,,,,,
E06000004,Stockton-on-Tees,12,6.1,12,6.1,12,6.1,12,6.1,10,5.1,10,5.1,9,4.6,9,4.6,,,,,,,,,,,,,,
E11000007,Tyne and Wear (Met County),96,8.4,88,7.7,85,7.4,79,6.9,58,5.1,57,5.0,51,4.5,45,4.0,,,,,,,,,,,,,,
E08000037,Gateshead,19,9.4,18,8.9,19,9.4,18,8.9,15,7.4,14,6.9,13,6.4,12,5.9,,,,,,,,,,,,,,
E08000021,Newcastle upon Tyne,25,8.1,20,6.6,18,5.9,18,5.9,6,2.0,6,2.0,5,1.7,4,1.3,,,,,,,,,,,,,,
E08000022,North Tyneside,14,6.7,15,7.2,15,7.2,13,6.3,7,3.4,7,3.4,4,1.9,2,1.0,,,,,,,,,,,,,,
E08000023,South Tyneside,11,7.3,9,6.0,9,6.0,8,5.3,8,5.3,8,5.3,8,5.3,8,5.3,,,,,,,,,,,,,,
E08000024,Sunderland,27,9.7,26,9.4,24,8.6,22,7.9,22,7.9,22,7.9,21,7.6,19,6.8,,,,,,,,,,,,,,
E12000002,NORTH WEST,372,5.0,345,4.7,323,4.4,314,4.3,297,4.0,285,3.9,255,3.5,227,3.1,,,,,,,,,,,,,,
E06000008,Blackburn with Darwen,7,4.7,7,4.7,7,4.7,7,4.7,2,1.3,2,1.3,2,1.3,2,1.3,,,,,,,,,,,,,,
E06000009,Blackpool,2,1.4,2,1.4,2,1.4,2,1.4,1,0.7,1,0.7,1,0.7,0,0.0,,,,,,,,,,,,,,
E06000049,Cheshire East,30,7.8,27,7.0,26,6.8,25,6.5,24,6.2,23,6.0,23,6.0,22,5.8,,,,,,,,,,,,,,
E06000050,Cheshire West and Chester,16,4.7,12,3.5,11,3.2,10,2.9,8,2.3,8,2.3,6,1.8,6,1.8,,,,,,,,,,,,,,
E06000006,Halton,5,3.9,2,1.5,2,1.5,2,1.5,2,1.5,1,0.8,0,0.0,0,0.0,,,,,,,,,,,,,,
E06000007,Warrington,19,9.1,18,8.6,18,8.6,18,8.6,18,8.6,18,8.6,17,8.1,17,8.1,,,,,,,,,,,,,,
E10000006,Cumbria,62,12.4,62,12.4,61,12.2,61,12.2,59,11.8,58,11.6,54,10.8,45,9.0,,,,,,,,,,,,,,
E07000026,Allerdale,6,6.1,6,6.1,6,6.1,6,6.1,6,6.1,6,6.2,6,6.2,6,6.2,,,,,,,,,,,,,,
E07000027,Barrow-in-Furness,1,1.5,1,1.5,0,0.0,0,0.0,0,0.0,0,0.0,,0.0,0,0.0,,,,,,,,,,,,,,
E07000028,Carlisle,7,6.5,7,6.4,7,6.4,7,6.4,7,6.4,7,6.5,5,4.6,5,4.6,,,,,,,,,,,,,,
E07000029,Copeland,2,2.9,2,2.9,2,2.9,2,2.9,2,2.9,2,2.9,1,1.5,1,1.5,,,,,,,,,,,,,,
E07000030,Eden,22,40.9,22,41.3,22,41.3,22,41.3,20,37.6,19,35.9,18,34.0,17,32.1,,,,,,,,,,,,,,
E07000031,South Lakeland,24,22.9,24,22.8,24,22.8,24,22.8,24,22.8,24,23.0,24,23.0,16,15.3,,,,,,,,,,,,,,
E11000001,Greater Manchester (Met County),85,3.0,76,2.7,69,2.4,63,2.2,61,2.2,58,2.1,48,1.7,44,1.6,,,,,,,,,,,,,,
E08000001,Bolton,6,2.1,3,1.0,3,1.0,3,1.0,3,1.0,3,1.1,3,1.1,2,0.7,,,,,,,,,,,,,,
E08000002,Bury,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,
E08000003,Manchester,15,2.7,13,2.4,10,1.8,10,1.8,14,2.5,13,2.4,13,2.4,14,2.6,,,,,,,,,,,,,,
E08000004,Oldham,6,2.5,4,1.7,4,1.7,4,1.7,3,1.3,3,1.3,1,0.4,0,0.0,,,,,,,,,,,,,,
E08000005,Rochdale,5,2.2,8,3.6,8,3.6,8,3.6,8,3.6,8,3.6,6,2.7,7,3.2,,,,,,,,,,,,,,
E08000006,Salford,13,4.9,13,5.0,13,5.0,10,3.9,11,4.2,11,4.3,9,3.5,9,3.5,,,,,,,,,,,,,,
E08000007,Stockport,16,5.4,16,5.5,15,5.1,14,4.8,9,3.1,9,3.1,7,2.4,3,1.0,,,,,,,,,,,,,,
E08000008,Tameside,9,4.0,6,2.6,5,2.2,4,1.8,5,2.2,4,1.8,4,1.8,4,1.8,,,,,,,,,,,,,,
E08000009,Trafford,2,0.8,2,0.8,2,0.8,2,0.8,1,0.4,1,0.4,1,0.4,1,0.4,,,,,,,,,,,,,,
E08000010,Wigan,13,3.9,11,3.3,9,2.7,8,2.4,7,2.1,6,1.8,4,1.2,4,1.2,,,,,,,,,,,,,,
E10000017,Lancashire,110,9.0,107,8.8,97,8.0,95,7.8,94,7.7,89,7.4,80,6.6,71,5.9,,,,,,,,,,,,,,
E07000117,Burnley,3,3.4,3,3.4,3,3.4,3,3.4,3,3.4,2,2.3,1,1.1,1,1.1,,,,,,,,,,,,,,
E07000118,Chorley,21,17.7,20,16.9,20,16.9,20,16.9,20,16.9,20,17.1,20,17.1,20,17.1,,,,,,,,,,,,,,
E07000119,Fylde,3,3.7,3,3.7,3,3.7,3,3.7,3,3.7,3,3.8,3,3.8,1,1.3,,,,,,,,,,,,,,
E07000120,Hyndburn,7,8.6,6,7.4,6,7.4,6,7.4,5,6.2,5,6.2,3,3.7,3,3.7,,,,,,,,,,,,,,
E07000121,Lancaster,13,8.8,13,8.9,13,8.9,12,8.2,12,8.2,12,8.3,6,4.2,6,4.2,,,,,,,,,,,,,,
E07000122,Pendle,5,5.4,5,5.4,5,5.4,5,5.4,5,5.4,5,5.5,5,5.5,5,5.5,,,,,,,,,,,,,,
E07000123,Preston,14,9.7,14,9.8,13,9.1,13,9.1,13,9.1,11,7.8,11,7.8,8,5.6,,,,,,,,,,,,,,
E07000124,Ribble Valley,1,1.6,1,1.6,1,1.6,1,1.6,1,1.6,1,1.7,1,1.7,1,1.7,,,,,,,,,,,,,,
E07000125,Rossendale,2,2.8,2,2.8,2,2.8,2,2.8,2,2.8,1,1.4,1,1.4,0,0.0,,,,,,,,,,,,,,
E07000126,South Ribble,12,10.8,12,10.8,11,9.9,10,9.0,10,9.0,10,9.0,10,9.0,10,9.0,,,,,,,,,,,,,,
E07000127,West Lancashire,18,15.7,18,15.7,10,8.7,10,8.7,10,8.7,10,8.8,10,8.8,9,7.9,,,,,,,,,,,,,,
E07000128,Wyre,11,9.7,10,8.9,10,8.9,10,8.9,10,8.9,9,8.1,9,8.1,7,6.3,,,,,,,,,,,,,,
E11000002,Merseyside (Met County),36,2.5,32,2.2,30,2.1,31,2.2,28,2.0,27,1.9,24,1.7,20,1.4,,,,,,,,,,,,,,
E08000011,Knowsley,5,3.3,5,3.3,5,3.3,5,3.3,4,2.7,4,2.7,3,2.0,3,2.0,,,,,,,,,,,,,,
E08000012,Liverpool,12,2.4,10,2.0,10,2.0,11,2.2,10,2.0,10,2.0,9,1.8,8,1.6,,,,,,,,,,,,,,
E08000014,Sefton,8,2.9,7,2.5,5,1.8,5,1.8,5,1.8,5,1.8,5,1.8,3,1.1,,,,,,,,,,,,,,
E08000013,St. Helens,6,3.3,6,3.3,6,3.3,6,3.3,6,3.3,5,2.8,4,2.2,3,1.7,,,,,,,,,,,,,,
E08000015,Wirral,5,1.5,4,1.2,4,1.2,4,1.2,3,0.9,3,0.9,3,0.9,3,0.9,,,,,,,,,,,,,,
E12000003,YORKSHIRE AND THE HUMBER,341,6.2,332,6.0,311,5.7,280,5.1,248,4.5,228,4.2,182,3.3,150,2.7,,,,,,,,,,,,,,
E06000011,East Riding of Yorkshire,7,2.0,7,2.1,7,2.1,7,2.1,7,2.1,6,1.8,1,0.3,2,0.6,,,,,,,,,,,,,,
E06000010,"Kingston upon Hull, City of",8,3.1,8,3.1,8,3.1,8,3.1,6,2.3,6,2.3,5,1.9,4,1.5,,,,,,,,,,,,,,
E06000012,North East Lincolnshire,7,4.4,6,3.8,6,3.8,6,3.8,6,3.8,5,3.1,3,1.9,4,2.5,,,,,,,,,,,,,,
E06000013,North Lincolnshire,3,1.7,3,1.7,3,1.7,2,1.2,3,1.7,3,1.7,2,1.2,2,1.2,,,,,,,,,,,,,,
E06000014,York,13,6.2,13,6.2,14,6.6,13,6.2,13,6.2,13,6.2,13,6.2,13,6.2,,,,,,,,,,,,,,
E10000023,North Yorkshire,41,6.6,44,7.1,43,7.0,42,6.8,34,5.5,32,5.2,28,4.6,25,4.1,,,,,,,,,,,,,,
E07000163,Craven,4,7.0,4,7.0,4,7.0,4,7.0,2,3.5,1,1.8,1,1.8,1,1.8,,,,,,,,,,,,,,
E07000164,Hambleton,10,10.9,10,10.9,10,10.9,10,10.9,5,5.5,4,4.4,2,2.2,2,2.2,,,,,,,,,,,,,,
E07000165,Harrogate,11,6.8,14,8.7,14,8.7,14,8.7,13,8.1,13,8.1,12,7.5,9,5.6,,,,,,,,,,,,,,
E07000166,Richmondshire,10,18.6,10,18.6,10,18.6,10,18.6,10,18.6,10,18.8,10,18.8,10,18.8,,,,,,,,,,,,,,
E07000167,Ryedale,3,5.4,3,5.4,3,5.4,3,5.4,3,5.4,3,5.5,2,3.6,2,3.6,,,,,,,,,,,,,,
E07000168,Scarborough,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,,,,,,,,,,,,,,
E07000169,Selby,2,2.2,2,2.2,1,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,
E11000003,South Yorkshire (Met County),87,6.1,86,6.1,74,5.3,68,4.8,62,4.4,61,4.3,50,3.6,45,3.2,,,,,,,,,,,,,,
E08000016,Barnsley,6,2.4,6,2.4,6,2.4,6,2.4,5,2.0,5,2.0,3,1.2,2,0.8,,,,,,,,,,,,,,
E08000017,Doncaster,18,5.8,18,5.8,17,5.5,15,4.8,13,4.2,13,4.2,11,3.5,11,3.5,,,,,,,,,,,,,,
E08000018,Rotherham,28,10.6,29,10.9,28,10.5,28,10.5,26,9.8,25,9.4,24,9.1,24,9.1,,,,,,,,,,,,,,
E08000019,Sheffield,35,5.9,33,5.6,23,3.9,19,3.2,18,3.1,18,3.1,12,2.1,8,1.4,,,,,,,,,,,,,,
E11000006,West Yorkshire (Met County),175,7.5,165,7.1,156,6.7,134,5.7,117,5.0,102,4.4,80,3.4,55,2.4,,,,,,,,,,,,,,
E08000032,Bradford,42,7.7,38,7.0,37,6.9,33,6.1,28,5.2,25,4.7,21,3.9,10,1.9,,,,,,,,,,,,,,
E08000033,Calderdale,17,8.0,17,8.0,18,8.5,13,6.1,13,6.1,13,6.2,9,4.3,7,3.3,,,,,,,,,,,,,,
E08000034,Kirklees,20,4.5,18,4.1,17,3.9,15,3.4,9,2.0,9,2.1,6,1.4,6,1.4,,,,,,,,,,,,,,
